language,symbol,kind,source_rule
go,_expression,NONTERMINAL,for_clause
go,_simple_statement,NONTERMINAL,for_clause
go,_expression,NONTERMINAL,range_clause
go,expression_list,NONTERMINAL,range_clause
go,_expression,NONTERMINAL,expression_switch_statement
go,_simple_statement,NONTERMINAL,expression_switch_statement
go,default_case,NONTERMINAL,expression_switch_statement
go,expression_case,NONTERMINAL,expression_switch_statement
go,expression_list,NONTERMINAL,expression_case
go,statement_list,NONTERMINAL,expression_case
go,statement_list,NONTERMINAL,default_case
go,_type_switch_header,NONTERMINAL,type_switch_statement
go,default_case,NONTERMINAL,type_switch_statement
go,type_case,NONTERMINAL,type_switch_statement
go,_expression,NONTERMINAL,_type_switch_header
go,_simple_statement,NONTERMINAL,_type_switch_header
go,expression_list,NONTERMINAL,_type_switch_header
go,_type,NONTERMINAL,type_case
go,statement_list,NONTERMINAL,type_case
go,communication_case,NONTERMINAL,select_statement
go,default_case,NONTERMINAL,select_statement
go,receive_statement,NONTERMINAL,communication_case
go,send_statement,NONTERMINAL,communication_case
go,statement_list,NONTERMINAL,communication_case
go,_string_literal,NONTERMINAL,_expression
go,binary_expression,NONTERMINAL,_expression
go,call_expression,NONTERMINAL,_expression
go,composite_literal,NONTERMINAL,_expression
go,false,NONTERMINAL,_expression
go,float_literal,NONTERMINAL,_expression
go,func_literal,NONTERMINAL,_expression
go,identifier,NONTERMINAL,_expression
go,imaginary_literal,NONTERMINAL,_expression
go,index_expression,NONTERMINAL,_expression
go,int_literal,NONTERMINAL,_expression
go,iota,NONTERMINAL,_expression
go,nil,NONTERMINAL,_expression
go,parenthesized_expression,NONTERMINAL,_expression
go,rune_literal,NONTERMINAL,_expression
go,selector_expression,NONTERMINAL,_expression
go,slice_expression,NONTERMINAL,_expression
go,true,NONTERMINAL,_expression
go,type_assertion_expression,NONTERMINAL,_expression
go,type_conversion_expression,NONTERMINAL,_expression
go,type_instantiation_expression,NONTERMINAL,_expression
go,unary_expression,NONTERMINAL,_expression
go,_expression,NONTERMINAL,parenthesized_expression
go,_expression,NONTERMINAL,call_expression
go,argument_list,NONTERMINAL,call_expression
go,special_argument_list,NONTERMINAL,call_expression
go,type_arguments,NONTERMINAL,call_expression
