language,rule,path,operation,name,value
r,unary_operator,$.members[4].content.members[0],FIELD,operator,
r,unary_operator,$.members[4].content.members[0].content,STRING,,"""-"""
r,unary_operator,$.members[4].content.members[1],REPEAT,,
r,unary_operator,$.members[4].content.members[1].content,SYMBOL,_newline,
r,unary_operator,$.members[4].content.members[2],FIELD,rhs,
r,unary_operator,$.members[4].content.members[2].content,SYMBOL,_expression,
r,binary_operator,$,CHOICE,,
r,binary_operator,$.members[0],PREC_LEFT,,1
r,binary_operator,$.members[0].content,SEQ,,
r,binary_operator,$.members[0].content.members[0],FIELD,lhs,
r,binary_operator,$.members[0].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[0].content.members[1],FIELD,operator,
r,binary_operator,$.members[0].content.members[1].content,STRING,,"""?"""
r,binary_operator,$.members[0].content.members[2],REPEAT,,
r,binary_operator,$.members[0].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[0].content.members[3],FIELD,rhs,
r,binary_operator,$.members[0].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[1],PREC_LEFT,,7
r,binary_operator,$.members[1].content,SEQ,,
r,binary_operator,$.members[1].content.members[0],FIELD,lhs,
r,binary_operator,$.members[1].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[1].content.members[1],FIELD,operator,
r,binary_operator,$.members[1].content.members[1].content,STRING,,"""~"""
r,binary_operator,$.members[1].content.members[2],REPEAT,,
r,binary_operator,$.members[1].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[1].content.members[3],FIELD,rhs,
r,binary_operator,$.members[1].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[2],PREC_RIGHT,,4
r,binary_operator,$.members[2].content,SEQ,,
r,binary_operator,$.members[2].content.members[0],FIELD,lhs,
r,binary_operator,$.members[2].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[2].content.members[1],FIELD,operator,
r,binary_operator,$.members[2].content.members[1].content,STRING,,"""<-"""
r,binary_operator,$.members[2].content.members[2],REPEAT,,
r,binary_operator,$.members[2].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[2].content.members[3],FIELD,rhs,
r,binary_operator,$.members[2].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[3],PREC_RIGHT,,4
r,binary_operator,$.members[3].content,SEQ,,
r,binary_operator,$.members[3].content.members[0],FIELD,lhs,
r,binary_operator,$.members[3].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[3].content.members[1],FIELD,operator,
r,binary_operator,$.members[3].content.members[1].content,STRING,,"""<<-"""
r,binary_operator,$.members[3].content.members[2],REPEAT,,
r,binary_operator,$.members[3].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[3].content.members[3],FIELD,rhs,
r,binary_operator,$.members[3].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[4],PREC_RIGHT,,4
r,binary_operator,$.members[4].content,SEQ,,
r,binary_operator,$.members[4].content.members[0],FIELD,lhs,
r,binary_operator,$.members[4].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[4].content.members[1],FIELD,operator,
r,binary_operator,$.members[4].content.members[1].content,STRING,,""":="""
r,binary_operator,$.members[4].content.members[2],REPEAT,,
r,binary_operator,$.members[4].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[4].content.members[3],FIELD,rhs,
r,binary_operator,$.members[4].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[5],PREC_LEFT,,6
r,binary_operator,$.members[5].content,SEQ,,
r,binary_operator,$.members[5].content.members[0],FIELD,lhs,
r,binary_operator,$.members[5].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[5].content.members[1],FIELD,operator,
r,binary_operator,$.members[5].content.members[1].content,STRING,,"""->"""
r,binary_operator,$.members[5].content.members[2],REPEAT,,
r,binary_operator,$.members[5].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[5].content.members[3],FIELD,rhs,
r,binary_operator,$.members[5].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[6],PREC_LEFT,,6
r,binary_operator,$.members[6].content,SEQ,,
r,binary_operator,$.members[6].content.members[0],FIELD,lhs,
r,binary_operator,$.members[6].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[6].content.members[1],FIELD,operator,
r,binary_operator,$.members[6].content.members[1].content,STRING,,"""->>"""
r,binary_operator,$.members[6].content.members[2],REPEAT,,
r,binary_operator,$.members[6].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[6].content.members[3],FIELD,rhs,
r,binary_operator,$.members[6].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[7],PREC_RIGHT,,5
r,binary_operator,$.members[7].content,SEQ,,
r,binary_operator,$.members[7].content.members[0],FIELD,lhs,
r,binary_operator,$.members[7].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[7].content.members[1],FIELD,operator,
r,binary_operator,$.members[7].content.members[1].content,STRING,,"""="""
r,binary_operator,$.members[7].content.members[2],REPEAT,,
r,binary_operator,$.members[7].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[7].content.members[3],FIELD,rhs,
r,binary_operator,$.members[7].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[8],PREC_LEFT,,8
r,binary_operator,$.members[8].content,SEQ,,
r,binary_operator,$.members[8].content.members[0],FIELD,lhs,
r,binary_operator,$.members[8].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[8].content.members[1],FIELD,operator,
r,binary_operator,$.members[8].content.members[1].content,STRING,,"""|"""
r,binary_operator,$.members[8].content.members[2],REPEAT,,
r,binary_operator,$.members[8].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[8].content.members[3],FIELD,rhs,
r,binary_operator,$.members[8].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[9],PREC_LEFT,,9
r,binary_operator,$.members[9].content,SEQ,,
r,binary_operator,$.members[9].content.members[0],FIELD,lhs,
r,binary_operator,$.members[9].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[9].content.members[1],FIELD,operator,
r,binary_operator,$.members[9].content.members[1].content,STRING,,"""&"""
r,binary_operator,$.members[9].content.members[2],REPEAT,,
r,binary_operator,$.members[9].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[9].content.members[3],FIELD,rhs,
r,binary_operator,$.members[9].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[10],PREC_LEFT,,8
